Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
5.1282,1.048359689,1.013740035,1.078818677,1.095155076,1.039705464,1.057320648
5.14485,1.048348228,1.013727325,1.078805657,1.095142854,1.039692346,1.057307417
5.1615,1.048336845,1.013714687,1.07879272,1.095130708,1.039679319,1.05729427
5.17815,1.048325545,1.013702126,1.078779882,1.095118644,1.039666385,1.057281224
5.1948,1.048314331,1.013689647,1.078767135,1.095106663,1.03965355,1.05726827
5.21145,1.048303206,1.013677256,1.078754495,1.095094769,1.039640816,1.057255426
5.2281,1.048292175,1.013664957,1.078741953,1.095082964,1.039628187,1.057242681
5.24475,1.048281239,1.013652755,1.078729523,1.09507125,1.039615664,1.057230051
5.2614,1.048270401,1.013640655,1.078717195,1.095059627,1.039603248,1.057217523
5.27805,1.048259662,1.01362866,1.078704982,1.095048096,1.039590942,1.057205112
5.2947,1.048249025,1.013616773,1.078692873,1.095036659,1.039578744,1.057192806
5.31135,1.048238491,1.013604996,1.078680879,1.095025315,1.039566655,1.057180618
5.328,1.048228059,1.013593332,1.078668989,1.095014065,1.039554675,1.057168534
5.34465,1.048217732,1.013581783,1.078657214,1.095002909,1.039542804,1.057156568
5.3613,1.048207509,1.013570349,1.078645542,1.094991847,1.03953104,1.057144706
5.37795,1.048197391,1.013559032,1.078633985,1.094980878,1.039519385,1.05713296
5.3946,1.048187379,1.013547832,1.078622529,1.094970004,1.039507836,1.057121318
5.41125,1.048177472,1.013536749,1.078611188,1.094959225,1.039496395,1.057109791
5.4279,1.04816767,1.013525784,1.078599948,1.09494854,1.039485061,1.057098367
5.44455,1.048157975,1.013514935,1.078588821,1.094937951,1.039473835,1.057087059
5.4612,1.048148386,1.013504204,1.078577797,1.094927459,1.039462716,1.057075854
5.47785,1.048138903,1.013493589,1.078566887,1.094917064,1.039451706,1.057064765
5.4945,1.048129528,1.01348309,1.07855608,1.094906768,1.039440806,1.057053781
5.51115,1.04812026,1.013472708,1.07854539,1.094896572,1.039430016,1.057042916
5.5278,1.048111101,1.013462441,1.078534805,1.094886477,1.03941934,1.057032157
5.54445,1.048102051,1.01345229,1.078524339,1.094876485,1.039408777,1.05702152
5.5611,1.048093111,1.013442255,1.078513981,1.094866598,1.039398329,1.057010993
5.57775,1.048084282,1.013432337,1.078503745,1.094856817,1.039388,1.05700059
5.5944,1.048075565,1.013422535,1.078493621,1.094847143,1.03937779,1.056990301
