Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
4.1292,1.04655075,1.011744581,1.071724522,1.091604493,1.034810085,1.048939953
4.14585,1.046543887,1.011740187,1.071713195,1.091595542,1.034798799,1.048928463
4.1625,1.04653523,1.011732879,1.071699789,1.091584883,1.034785268,1.048914823
4.17915,1.046525047,1.011722903,1.07168473,1.091572881,1.034769952,1.048899471
4.1958,1.046513618,1.011710554,1.071668444,1.091559901,1.034753313,1.048882849
4.21245,1.046501226,1.011696169,1.071651351,1.091546294,1.034735807,1.048865391
4.2291,1.046488148,1.01168011,1.071633846,1.091532386,1.034717865,1.048847505
4.24575,1.046474644,1.011662749,1.07161629,1.091518471,1.034699878,1.048829565
4.2624,1.04646095,1.011644458,1.071598997,1.091504802,1.034682192,1.048811897
4.27905,1.046447274,1.011625596,1.071582231,1.091491582,1.034665092,1.048794775
4.2957,1.04643379,1.011606495,1.071566199,1.091478968,1.034648805,1.048778413
4.31235,1.046420637,1.011587458,1.071551047,1.091467063,1.03463349,1.048762963
4.329,1.046407912,1.011568745,1.071536862,1.091455919,1.034619241,1.048748516
4.34565,1.046395678,1.011550569,1.071523673,1.09144554,1.034606091,1.048735103
4.3623,1.046383958,1.011533096,1.071511456,1.091435888,1.03459401,1.048722699
4.37895,1.046372744,1.011516441,1.071500136,1.091426884,1.034582919,1.048711228
4.3956,1.046361995,1.011500667,1.0714896,1.091418418,1.034572691,1.048700572
4.41225,1.046351645,1.011485789,1.071479699,1.091410357,1.034563164,1.048690577
4.4289,1.046341604,1.01147178,1.071470257,1.091402547,1.034554148,1.048681064
4.44555,1.04633177,1.011458568,1.071461084,1.091394827,1.034545436,1.048671834
4.4622,1.046322027,1.01144605,1.071451981,1.091387031,1.034536812,1.048662683
4.47885,1.046312254,1.011434096,1.071442748,1.091378998,1.034528059,1.048653404
4.4955,1.04630233,1.011422553,1.071433194,1.091370576,1.034518972,1.048643798
4.51215,1.046292139,1.011411257,1.07142314,1.09136163,1.034509359,1.048633683
4.5288,1.046281573,1.011400035,1.07141243,1.09135204,1.034499052,1.048622897
4.54545,1.046270536,1.011388718,1.07140093,1.091341713,1.034487911,1.048611302
4.5621,1.046258945,1.011377139,1.071388536,1.091330576,1.034475824,1.048598789
4.57875,1.046246737,1.011365148,1.071375172,1.091318584,1.034462714,1.048585282
4.5954,1.046233864,1.01135261,1.071360795,1.091305716,1.034448534,1.048570736
4.61205,1.0462203,1.011339409,1.07134539,1.091291977,1.034433275,1.048555135
4.6287,1.046206034,1.011325455,1.071328974,1.091277393,1.034416954,1.048538497
4.64535,1.046191075,1.011310683,1.071311588,1.091262012,1.034399619,1.048520866
4.662,1.046175448,1.011295053,1.071293299,1.091245899,1.034381344,1.048502308
4.67865,1.046159193,1.011278549,1.071274192,1.091229132,1.03436222,1.048482914
4.6953,1.04614236,1.011261183,1.071254369,1.091211801,1.034342358,1.048462786
